Bus_ID;Placa
K1401;GUW521
K1402;GUW522
K1403;GUW523
K1404;GUW524
K1405;GUW525
K1406;GUW526
K1407;GUW527
K1408;GUW528
K1409;GUW529
K1410;GUW530
K1411;GUW531
K1412;GUW532
K1413;GUW533
K1414;GUW534
K1415;GUW535
K1416;GUW536
K1417;GUW537
K1418;GUW538
K1419;GUW539
K1420;GUW540
K1421;GUW541
K1422;GUW542
K1423;GUW543
K1424;GUW544
K1425;GUW545
K1426;GUW546
K1427;GUW547
K1428;GUW548
K1429;GUW549
K1430;GUW550
K1431;GUW551
K1432;GUW552
K1433;GUW553
K1434;GUW554
K1435;GUW555
K1436;GUW556
K1437;GUW557
K1438;GUW558
K1439;GUW559
K1440;GUW560
K1441;GUW561
K1442;GUW562
K1443;GUW563
K1444;GUW564
K1445;GUW565
K1446;GUW566
K1447;GUW567
K1448;GUW568
K1449;GUW569
K1450;GUW570
K1451;GUW571
K1452;GUW572
K1453;GUW573
K1454;GUW574
K1455;GUW575
K1456;GUW576
K1457;GUW577
K1458;GUW578
K1459;GUW579
K1460;GUW580
K1461;GUW581
K1462;GUW582
K1463;GUW583
K1464;GUW584
K1465;GUW585
K1466;GUW586
K1467;GUW587
K1468;GUW588
K1469;GUW589
K1470;GUW590
K1471;GUW591
K1472;GUW592
K1473;GUW593
K1474;GUW594
K1475;GUW595
K1476;GUW596
K1477;GUW597
K1478;GUW598
K1479;GUW599
K1480;GUW600
K1481;GUW601
K1482;GUW602
K1483;GUW603
K1484;GUW604
K1485;GUW605
K1486;GUW606
K1487;GUW607
K1488;GUW608
K1489;GUW609
K1490;GUW610
K1491;GUW611
K1492;GUW612
K1493;GUW613
K1494;GUW614
K1495;GUW615
K1496;GUW616
K1497;GUW617
K1498;GUW618
K1499;GUW619
K1500;GUW620
K1501;GUW621
K1502;GUW622
K1503;GUW623
K1504;GUW624
K1505;GUW625
K1506;GUW626
K1507;GUW627
K1508;GUW628
K1509;GUW629
K1510;GUW630
K1511;GUW631
K1512;GUW632
K1513;GUW633
K1514;GUW634
K1515;GUW635
K1516;GUW636
K1517;GUW637
K1518;GUW638
K1519;GUW639
K1520;GUW640
K1521;GUW641
K1522;GUW642
K1523;GUW643
K1524;GUW644
K1525;GUW645
K1526;GUW646
K1527;GUW647
K1528;GUW648
K1529;GUW649
K1530;GUW650
K1531;GUX820
K1532;GUX821
K1533;GUX822
K1534;GUX823
K1535;GUX824
K1536;GUX825
K1537;GUX826
K1538;GUX827
K1539;GUX828
K1540;GUX829
K1541;GUX830
K1542;GUX831
K1543;GUX832
K1544;GUX833
K1545;GUX834
K1546;GUX835
K1547;GUX836
K1548;GUX837
K1549;GUX838
K1550;GUX839
K1551;GUX840
K1552;GUX841
K1553;GUX842
K1554;GUX843
K1556;GUX845
K1557;GUX846
K1558;GUX847
K1559;GUX848
K1560;GUX849
K1561;GUX850
K1562;GUX851
K1563;GUX852
K1564;GUX853
K1565;GUX854
K1566;GUX855
K1567;GUX856
K1568;GUX857
K1569;GUX858
K1570;GUX859
K1571;GUX860
K1572;GUX861
K1573;GUX862
K1574;GUX863
K1575;GUX864
K1576;GUX865
K1577;GUX866
K1578;GUX867
K1579;GUX868
K1580;GUX869
K1581;GUX870
K1582;GUX871
K1583;GUX872
K1584;GUX873
K1585;GUX874
K1586;GUX875
K1587;GUX876
K1588;GUX877
K1589;GUX878
K1590;GUX879
K1591;GUX880
K1592;GUX881
K1593;GUX882
K1594;GUX883
K1595;GUX884
K1596;GUX885
K1597;GUX886
K1598;GUX887
K1599;GUX888
K1600;GUX889
K1601;GUX890
K1602;GUX891
K1603;GUX892
K1604;GUX893
K1605;GUX894
K1606;GUX895
K1607;GUX896
K1608;GUX897
K1609;GUX898
K1610;GUX899
K1611;GUX900
K1612;GUX901
K1613;GUX902
K1614;GUX903
K1615;GUX904
K1616;GUX905
K1617;GUX906
K1618;GUX907
K1619;GUX908
K1620;GUX909
K1621;GUX910
K1622;GUX911
K1623;GUX912
K1624;GUX913
K1625;GUX914
K1626;GUX915
K1627;GUX916
K1628;GUX917
K1629;GUX918
K1630;GUX919
K1631;GUX920
K1632;GUX921
K1633;GUX922
K1634;GUX923
K1635;GUX924
K1636;GUX925
K1637;GUX926
K1638;GUX927
K1639;GUX928
K1640;GUX929
K1641;GUX930
K1642;GUX931
K1643;GUX932
K1644;GUX933
K1645;GUX934
K1646;GUX935
K1647;GUX936
K1648;GUX937
K1649;GUX938
K1650;GUX939
K1651;GUX940
K1652;GUX941
K1653;GUX942
K1654;GUX943
K1655;GUX944
K1656;GUX945
K1657;GUX946
K1658;GUX947
K1659;GUX948
K1660;GUX949
K1661;JTR734
